"eV";"Element";"Line";"Rel_intensity";"Name"
14 882,90;"39 Y";"Kα2";52;"KA2"
14 951,70;"37 Rb";"Kβ3";7;"KB3"
14 958,40;"39 Y";"Kα1";100;"KA1"
14 961,30;"37 Rb";"Kβ1";14;"KB1"
15 185,00;"37 Rb";"Kβ2";2;"KB2"
15 247,70;"83 Bi";"Lγ1";14;"LG1"
15 623,70;"90 Th";"Lβ2";26;"LB2"
15 690,90;"40 Zr";"Kα2";52;"KA2"
15 775,10;"40 Zr";"Kα1";100;"KA1"
15 824,90;"38 Sr";"Kβ3";7;"KB3"
15 835,70;"38 Sr";"Kβ1";14;"KB1"
16 084,60;"38 Sr";"Kβ2";3;"KB2"
16 202,20;"90 Th";"Lβ1";69;"LB1"
16 428,30;"92 U";"Lβ2";26;"LB2"
16 521,00;"41 Nb";"Kα2";52;"KA2"
16 615,10;"41 Nb";"Kα1";100;"KA1"
16 725,80;"39 Y";"Kβ3";8;"KB3"
16 737,80;"39 Y";"Kβ1";15;"KB1"
17 015,40;"39 Y";"Kβ2";3;"KB2"
17 220,00;"92 U";"Lβ1";61;"LB1"
17 374,30;"42 Mo";"Kα2";52;"KA2"
17 479,30;"42 Mo";"Kα1";100;"KA1"
17 654,00;"40 Zr";"Kβ3";8;"KB3"
17 667,80;"40 Zr";"Kβ1";15;"KB1"
17 970,00;"40 Zr";"Kβ2";3;"KB2"
18 250,80;"43 Tc";"Kα2";53;"KA2"
18 367,10;"43 Tc";"Kα1";100;"KA1"
18 606,30;"41 Nb";"Kβ3";8;"KB3"
18 622,50;"41 Nb";"Kβ1";15;"KB1"
18 953,00;"41 Nb";"Kβ2";3;"KB2"
18 982,50;"90 Th";"Lγ1";16;"LG1"
19 150,40;"44 Ru";"Kα2";53;"KA2"
19 279,20;"44 Ru";"Kα1";100;"KA1"
19 590,30;"42 Mo";"Kβ3";8;"KB3"
19 608,30;"42 Mo";"Kβ1";15;"KB1"
19 965,20;"42 Mo";"Kβ2";3;"KB2"
20 073,70;"45 Rh";"Kα2";53;"KA2"
