"Z";"Line Name";"Comment";"line keV";"tube KV";"Filter";"Ref Sample";"Ref Line";"Calib.";"Collimator";"Crystal";"Detector";"2Th-Peak";"2Th-Bkg";"LLD";"ULD"
20;"Ca KB1-HS-Min";;4,013;50;;"QuantExpress-SQ2";"Ca KA1-HS-Min";"C,D,*";0,46;"LiF200";"Gas";100,223;;50;150
20;"Ca KB1-HS-Tr";;4,013;50;;"QuantExpress-SQ2";"Ca KA1-HS-Tr";"C,D,*";0,46;"LiF200";"Gas";100,223;;60;140
20;"Ca KB1-Maj";;4,013;50;;"QuantExpress-SQ2";"Ca KA1-Maj";"C,D,*";0,23;"LiF200";"Gas";100,223;;35;300
20;"Ca KB1";"GEO-QUANT";4,013;50;;"DC_AusMon";"Ca KB1/GEO-QUANT";"D-";0,23;"LiF200";"Gas";"100,204*";"94,838; 105,555";50;150
48;"Cd KA1-ALT-Min";;23,17;60;"Cu 200um";"QuantExpress-SQ3";"Cd KA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";"21,655*";;50;150
48;"Cd KA1-ALT-Min";"NoFil";23,17;60;;"QuantExpress-SQ3";"Cd KA1-ALT-Min/NoFil";"C,D";0,23;"LiF220";"Sci.";21,657;;50;150
48;"Cd KA1-ALT-Tr";;23,17;60;"Cu 200um";"QuantExpress-SQ3";"Cd KA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";21,657;;60;140
48;"Cd KA1-ALT-Tr";"NoFil";23,17;60;;"QuantExpress-SQ3";"Cd KA1-ALT-Tr/NoFil";"C,D";0,23;"LiF220";"Sci.";21,657;;60;140
48;"Cd KA1-HR-Min";;23,17;60;"Cu 200um";"QuantExpress-SQ3";"Cd KA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";15,281;;50;150
48;"Cd KA1-HR-Min";"NoFil";23,17;60;;"QuantExpress-SQ3";"Cd KA1-HR-Min/NoFil";"C,D";0,23;"LiF200";"Sci.";15,281;;50;150
48;"Cd KA1-HR-Tr";;23,17;60;"Cu 200um";"QuantExpress-SQ3";"Cd KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";15,281;;60;140
48;"Cd KA1-HR-Tr";"NoFil";23,17;60;;"QuantExpress-SQ3";"Cd KA1-HR-Tr/NoFil";"C,D";0,23;"LiF200";"Sci.";15,281;;60;140
48;"Cd KA1-HS-Min";;23,17;60;"Cu 200um";"QuantExpress-SQ3";"Cd KA1-HS-Min";"C,D,*";0,46;"LiF200";"Sci.";15,281;;50;150
48;"Cd KA1-HS-Min";"NoFil";23,17;60;;"QuantExpress-SQ3";"Cd KA1-HS-Min/NoFil";"C,D";0,46;"LiF200";"Sci.";15,281;;50;150
48;"Cd KA1-HS-Tr";;23,17;60;"Cu 200um";"QuantExpress-SQ3";"Cd KA1-HS-Tr";"C,D,*";0,46;"LiF200";"Sci.";15,281;;60;140
48;"Cd KA1-HS-Tr";"NoFil";23,17;60;;"QuantExpress-SQ3";"Cd KA1-HS-Tr/NoFil";"C,D";0,46;"LiF200";"Sci.";15,281;;60;140
48;"Cd KA1-Maj";;23,17;50;;"QuantExpress-SQ3";"Cd KA1-Maj";"C,D,*";0,23;"LiF200";"Sci.";15,281;;35;300
48;"Cd LA1-HR-Min";;3,133;50;;"QuantExpress-SQ3";"K  KA1-HR-Min/PET";"C,D,*";0,23;"PET";"Gas";53,793;;50;150
48;"Cd LA1-HR-Tr";;3,133;50;;"QuantExpress-SQ3";"K  KA1-HR-Tr/PET";"C,D,*";0,23;"PET";"Gas";53,793;;60;140
48;"Cd LA1-HS-Min";;3,133;50;;"QuantExpress-SQ3";"K  KA1-HS-Min/PET";"C,D,*";0,46;"PET";"Gas";53,793;;50;150
48;"Cd LA1-HS-Tr";;3,133;50;;"QuantExpress-SQ3";"K  KA1-HS-Tr/PET";"C,D,*";0,46;"PET";"Gas";53,793;;60;140
48;"Cd LB1-HR-Min";;3,316;50;;"QuantExpress-SQ3";"K  KA1-HR-Min/PET";"C,D,*";0,23;"PET";"Gas";50,609;;50;150
48;"Cd LB1-HR-Tr";;3,316;50;;"QuantExpress-SQ3";"K  KA1-HR-Tr/PET";"C,D,*";0,23;"PET";"Gas";50,609;;60;140
48;"Cd LB1-HS-Min";;3,316;50;;"QuantExpress-SQ3";"K  KA1-HS-Min/PET";"C,D,*";0,46;"PET";"Gas";50,609;;50;150
48;"Cd LB1-HS-Tr";;3,316;50;;"QuantExpress-SQ3";"K  KA1-HS-Tr/PET";"C,D,*";0,46;"PET";"Gas";50,609;;60;140
58;"Ce KA1-ALT-Min";;34,72;60;;"QuantExpress-SQ1";"Ba KA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";14,408;;50;150
58;"Ce KA1-ALT-Tr";;34,72;60;;"QuantExpress-SQ1";"Ba KA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";14,408;;60;140
58;"Ce KA1-HR-Min";;34,72;60;;"QuantExpress-SQ1";"Ba KA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";10,185;;50;150
58;"Ce KA1-HR-Tr";;34,72;60;;"QuantExpress-SQ1";"Ba KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";10,185;;60;140
58;"Ce LA1-HR-Min";;4,839;50;;"QuantExpress-SQ1";"Ti KA1-HR-Min";"C,D,*";0,23;"LiF200";"Gas";79,037;;50;150
58;"Ce LA1-HR-Tr";;4,839;50;;"QuantExpress-SQ1";"Ti KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Gas";79,037;;60;140
58;"Ce LA1-HR-Tr";"Ca_Nd_karb";4,839;50;;"QuantExpress-SQ1";"Ti KA1-HR-Tr";"C,D";0,23;"LiF200";"Gas";79,037;;60;140
58;"Ce LA1-HS-Min";;4,839;50;;"QuantExpress-SQ1";"Ti KA1-HS-Min";"C,D,*";0,46;"LiF200";"Gas";79,037;;50;150
58;"Ce LA1-HS-Tr";;4,839;50;;"QuantExpress-SQ1";"Ti KA1-HS-Tr";"C,D,*";0,46;"LiF200";"Gas";79,037;;60;140
58;"Ce LA1";"GEO-QUANT";4,839;50;;"DC_AusMon, DC_Herasil";"Ce LA1/GEO-QUANT";"D-";0,23;"LiF220";"Gas";"128,201*";"126,094; 132,000";60;160
58;"Ce LB1-ALT-Min";;5,261;60;;"QuantExpress-SQ1";"Mn KA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";111,64;;50;150
58;"Ce LB1-ALT-Tr";;5,261;60;;"QuantExpress-SQ1";"Mn KA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";111,64;;60;140
58;"Ce LB1-ALT-Tr";"Ca_Nd_karb";5,261;50;;"Rekal-MSAN-1";"Ce LB1-ALT-Tr/Ca_Nd_karb";"D-";0,17;"LiF200";"Sci.";71,65;"71,000; 72,930";60;140
58;"Ce LB1-HR-Min";;5,261;60;;"QuantExpress-SQ1";"Mn KA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";71,65;;50;150
58;"Ce LB1-HR-Min";"L";5,261;50;;;;"*";0,17;"LiF200";"Sci.";"71,640*";"71,000; 72,930";52,92;150
58;"Ce LB1-HR-Tr";;5,261;60;;"QuantExpress-SQ1";"Mn KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";71,65;;60;140
58;"Ce LB1-HS-Min";;5,261;60;;"QuantExpress-SQ1";"Mn KA1-HS-Min";"C,D,*";0,46;"LiF200";"Sci.";71,65;;50;150
58;"Ce LB1-HS-Tr";;5,261;60;;"QuantExpress-SQ1";"Mn KA1-HS-Tr";"C,D,*";0,46;"LiF200";"Sci.";71,65;;60;140
17;"Cl KA1-HR-Min";;2,622;30;;"QuantExpress-SQ2";"P  KA1-HR-Min";"C,D,*";0,23;"PET";"Gas";65,419;;50;150
17;"Cl KA1-HR-Tr";;2,622;30;;"QuantExpress-SQ2";"P  KA1-HR-Tr";"C,D,*";0,23;"PET";"Gas";65,419;;60;140
17;"Cl KA1-HS-Min";;2,622;30;;"QuantExpress-SQ2";"P  KA1-HS-Min";"C,D,*";0,46;"PET";"Gas";65,419;;50;150
17;"Cl KA1-HS-Tr";;2,622;30;;"QuantExpress-SQ2";"P  KA1-HS-Tr";"C,D,*";0,46;"PET";"Gas";65,419;;60;140
27;"Co KA1-ALT-Min";;6,931;60;;"QuantExpress-SQ2";"Co KA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";77,819;;50;150
27;"Co KA1-ALT-Tr";;6,931;60;;"QuantExpress-SQ2";"Co KA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";77,819;;60;140
